activity_id,assay_chembl_id,molecule_chembl_id,standard_type,standard_value,standard_units,standard_relation,published_value,published_units,published_relation,pchembl_value,activity_comment,data_validity_comment,confidence_score,ligand_efficiency,document_chembl_id,record_id,target_chembl_id,smiles,valid_smiles
11003293,CHEMBL2078561,CHEMBL90555,Ki,802000.0,nM,=,,,,,inhibitor [Ki=802uM],Outside typical range,,,CHEMBL2073914,1669518,CHEMBL5748,CC[C@]1(O)C[C@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C=O)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1,True
15006384,CHEMBL3363893,CHEMBL1923433,EC50,145000.0,nM,=,,,,,,Outside typical range,,,CHEMBL3352173,2244425,CHEMBL5748,Cc1[nH]c(C(=O)NC2CCN(c3ncc(C(=O)O)s3)CC2)c(Cl)c1Cl,True
15006386,CHEMBL3363893,CHEMBL3314564,EC50,200000.0,nM,>,,,,,,Outside typical range,,,CHEMBL3352173,2244467,CHEMBL5748,COCCNC(=O)c1nc(N2CC[C@@H](NC(=O)c3[nH]c(C)c(Cl)c3Cl)[C@@H](OC)C2)sc1C(=O)O,True
15006387,CHEMBL3363893,CHEMBL3314565,EC50,200000.0,nM,>,,,,,,Outside typical range,,,CHEMBL3352173,2244468,CHEMBL5748,COC[C@H](C)NC(=O)c1nc(N2CC[C@@H](NC(=O)c3[nH]c(C)c(Cl)c3Cl)[C@@H](OC)C2)sc1C(=O)O,True
15006388,CHEMBL3363893,CHEMBL3314567,EC50,200000.0,nM,>,,,,,,Outside typical range,,,CHEMBL3352173,2246411,CHEMBL5748,COCC(COC)NC(=O)c1nc(N2CC[C@@H](NC(=O)c3[nH]c(C)c(Cl)c3Cl)[C@@H](OC)C2)sc1C(=O)O,True
15006389,CHEMBL3363893,CHEMBL3314576,EC50,140000.0,nM,=,,,,,,Outside typical range,,,CHEMBL3352173,2246420,CHEMBL5748,CO[C@H]1CN(c2nc(-c3ncnn3C)c(C(=O)O)s2)CC[C@H]1NC(=O)c1[nH]c(C)c(Cl)c1Cl,True
15006390,CHEMBL3363894,CHEMBL1923433,IC50,200000.0,nM,>,,,,,,Outside typical range,,,CHEMBL3352173,2244425,CHEMBL5748,Cc1[nH]c(C(=O)NC2CCN(c3ncc(C(=O)O)s3)CC2)c(Cl)c1Cl,True
15006391,CHEMBL3363894,CHEMBL3314525,IC50,200000.0,nM,>,,,,,,Outside typical range,,,CHEMBL3352173,2244428,CHEMBL5748,CO[C@H]1CN(c2ncc(C(=O)O)s2)CC[C@H]1NC(=O)c1[nH]c(C)c(Cl)c1Cl,True
15006394,CHEMBL3363894,CHEMBL3314567,IC50,200000.0,nM,=,,,,,,Outside typical range,,,CHEMBL3352173,2246411,CHEMBL5748,COCC(COC)NC(=O)c1nc(N2CC[C@@H](NC(=O)c3[nH]c(C)c(Cl)c3Cl)[C@@H](OC)C2)sc1C(=O)O,True
15006395,CHEMBL3363894,CHEMBL3314576,IC50,200000.0,nM,>,,,,,,Outside typical range,,,CHEMBL3352173,2246420,CHEMBL5748,CO[C@H]1CN(c2nc(-c3ncnn3C)c(C(=O)O)s2)CC[C@H]1NC(=O)c1[nH]c(C)c(Cl)c1Cl,True
