activity_id,assay_chembl_id,molecule_chembl_id,standard_type,standard_value,standard_units,standard_relation,published_value,published_units,published_relation,pchembl_value,activity_comment,data_validity_comment,confidence_score,ligand_efficiency,document_chembl_id,record_id,target_chembl_id,smiles
18051740,CHEMBL4011663,CHEMBL444633,IC50,26700.0,nM,=,,,,4.57,,,,,CHEMBL4011581,2991673,CHEMBL6020,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(c3C2=O)C2=NC3(CCN(CC(C)C)CC3)NC2=C(NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C)C4=O
18051741,CHEMBL4011663,CHEMBL374478,IC50,25300.0,nM,=,,,,4.6,,,,,CHEMBL4011581,2991672,CHEMBL6020,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c(/C=N/N5CCN(C)CC5)c(O)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C
18051742,CHEMBL4011663,CHEMBL941,IC50,25100.0,nM,=,,,,4.6,,,,,CHEMBL4011581,2991671,CHEMBL6020,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1
18051743,CHEMBL4011663,CHEMBL1064,IC50,24700.0,nM,=,,,,4.61,,,,,CHEMBL4011581,2991670,CHEMBL6020,CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21
18051744,CHEMBL4011663,CHEMBL957,IC50,22000.0,nM,=,,,,4.66,,,,,CHEMBL4011581,2991669,CHEMBL6020,COc1ccccc1Oc1c(NS(=O)(=O)c2ccc(C(C)(C)C)cc2)nc(-c2ncccn2)nc1OCCO
18051745,CHEMBL4011663,CHEMBL5483011,IC50,21200.0,nM,=,,,,4.67,,,,,CHEMBL4011581,2991668,CHEMBL6020,CC(C)(C)NC(=O)[C@@H]1CN(Cc2cccnc2)CCN1C[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O.O
18051746,CHEMBL4011663,CHEMBL388978,IC50,18700.0,nM,=,,,,4.73,,,,,CHEMBL4011581,2991667,CHEMBL6020,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4
18051747,CHEMBL4011663,CHEMBL64391,IC50,18000.0,nM,=,,,,4.75,,,,,CHEMBL4011581,2991666,CHEMBL6020,CCC(C)n1ncn(-c2ccc(N3CCN(c4ccc(OCC5COC(Cn6cncn6)(c6ccc(Cl)cc6Cl)O5)cc4)CC3)cc2)c1=O
18051748,CHEMBL4011663,CHEMBL388590,IC50,17500.0,nM,=,,,,4.76,,,,,CHEMBL4011581,2991665,CHEMBL6020,CCc1oc2ccccc2c1C(=O)c1cc(Br)c(O)c(Br)c1
18051749,CHEMBL4011663,CHEMBL729,IC50,17300.0,nM,=,,,,4.76,,,,,CHEMBL4011581,2991664,CHEMBL6020,Cc1cccc(C)c1OCC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@H](Cc1ccccc1)NC(=O)[C@H](C(C)C)N1CCCNC1=O
18051750,CHEMBL4011663,CHEMBL1017,IC50,16200.0,nM,=,,,,4.79,,,,,CHEMBL4011581,2991663,CHEMBL6020,CCCc1nc2c(C)cc(-c3nc4ccccc4n3C)cc2n1Cc1ccc(-c2ccccc2C(=O)O)cc1
18051751,CHEMBL4011663,CHEMBL1481,IC50,15700.0,nM,=,,,,4.8,,,,,CHEMBL4011581,2991662,CHEMBL6020,CCC1=C(C)CN(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)N[C@H]3CC[C@H](C)CC3)cc2)C1=O
18051752,CHEMBL4011663,CHEMBL43064,IC50,15700.0,nM,=,,,,4.8,,,,,CHEMBL4011581,2991661,CHEMBL6020,C(=C/c1ccccc1)\CN1CCN(C(c2ccccc2)c2ccccc2)CC1
18051753,CHEMBL4011663,CHEMBL672,IC50,15300.0,nM,=,,,,4.82,,,,,CHEMBL4011581,2991660,CHEMBL6020,CC(C)OC(=O)C(C)(C)Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1
18051754,CHEMBL4011663,CHEMBL428647,IC50,15000.0,nM,=,,,,4.82,,,,,CHEMBL4011581,2991659,CHEMBL6020,CC(=O)O[C@H]1C(=O)[C@@]2(C)[C@H]([C@H](OC(=O)c3ccccc3)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C)[C@]1(OC(C)=O)CO[C@@H]1C[C@@H]2O
18051755,CHEMBL4011663,CHEMBL4060109,IC50,14000.0,nM,=,,,,4.85,,,,,CHEMBL4011581,2991658,CHEMBL6020,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@]2(O)C#N
