activity_id,assay_chembl_id,molecule_chembl_id,standard_type,standard_value,standard_units,standard_relation,published_value,published_units,published_relation,pchembl_value,activity_comment,data_validity_comment,confidence_score,ligand_efficiency,document_chembl_id,record_id,target_chembl_id,smiles
13205650,CHEMBL2363735,CHEMBL252164,IC50,87.59,nM,=,,,,7.06,,,,,CHEMBL1201861,1878410,CHEMBL1075391,CCNC(=O)c1noc(-c2cc(C(C)C)c(O)cc2O)c1-c1ccc(CN2CCOCC2)cc1
13205651,CHEMBL2363735,CHEMBL449158,IC50,138.29,nM,=,,,,6.86,,,,,CHEMBL1201861,1878433,CHEMBL1075391,CCC/C=C/C=C/C(=O)O[C@H]1/C(=C/C(=O)OC)C[C@H]2C[C@H]([C@@H](C)O)OC(=O)C[C@H](O)C[C@@H]3C[C@H](OC(C)=O)C(C)(C)[C@](O)(C[C@@H]4C/C(=C/C(=O)OC)C[C@H](/C=C/C(C)(C)[C@]1(O)O2)O4)O3
13205652,CHEMBL2363735,CHEMBL477772,IC50,167776.38,nM,=,,,,,,Outside typical range,,,CHEMBL1201861,1878358,CHEMBL1075391,Cc1ccc(Nc2nccc(N(C)c3ccc4c(C)n(C)nc4c3)n2)cc1S(N)(=O)=O
13205653,CHEMBL2363735,CHEMBL94657,IC50,1.675,nM,=,,,,8.78,,,,,CHEMBL1201861,1878454,CHEMBL1075391,C/C(=C\c1csc(C)n1)[C@@H]1C[C@@H]2O[C@]2(C)CCC[C@H](C)[C@H](O)[C@@H](C)C(=O)C(C)(C)[C@@H](O)CC(=O)O1
13205654,CHEMBL2363735,CHEMBL289228,IC50,3212.08,nM,=,,,,5.49,,,,,CHEMBL1201861,1878383,CHEMBL1075391,Cn1cncc1[C@@](N)(c1ccc(Cl)cc1)c1ccc2c(c1)c(-c1cccc(Cl)c1)cc(=O)n2C
13205655,CHEMBL2363735,CHEMBL191384,IC50,9725.33,nM,=,,,,5.01,,,,,CHEMBL1201861,1878408,CHEMBL1075391,N#C/C(=C1/Nc2ccccc2S1)c1ccnc(NCCc2cccnc2)n1
13205656,CHEMBL2363735,CHEMBL1431,IC50,30969681.85,nM,=,,,,,,Outside typical range,,,CHEMBL1201861,1878340,CHEMBL1075391,CN(C)C(=N)NC(=N)N
13205657,CHEMBL2363735,CHEMBL483849,IC50,32281771.5,nM,=,,,,,,Outside typical range,,,CHEMBL1201861,1878404,CHEMBL1075391,NC(=O)c1ncn([C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)c1N
13205658,CHEMBL2363735,CHEMBL65,IC50,3.468,nM,=,,,,8.46,,,,,CHEMBL1201861,1878435,CHEMBL1075391,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1
13205659,CHEMBL2363735,CHEMBL159,IC50,15.49,nM,=,,,,7.81,,,,,CHEMBL1201861,1878385,CHEMBL1075391,CC[C@]1(O)C[C@@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1
13205660,CHEMBL2363735,CHEMBL11359,IC50,3608.03,nM,=,,,,5.44,,,,,CHEMBL1201861,1878443,CHEMBL1075391,
13205661,CHEMBL2363735,CHEMBL803,IC50,1520.53,nM,=,,,,5.82,,,,,CHEMBL1201861,1878446,CHEMBL1075391,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)c(=O)n1
13205662,CHEMBL2363735,CHEMBL3545252,IC50,11.46,nM,=,,,,7.94,,,,,CHEMBL1201861,1878449,CHEMBL1075391,CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@@]1(C)C(=O)[C@H](O)C3=C(C)[C@@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c4ccccc4)C[C@@](O)([C@@H](OC(=O)c4ccccc4)[C@H]21)C3(C)C.O.O.O
