activity_id,assay_chembl_id,molecule_chembl_id,standard_type,standard_value,standard_units,standard_relation,published_value,published_units,published_relation,pchembl_value,activity_comment,data_validity_comment,confidence_score,ligand_efficiency,document_chembl_id,record_id,target_chembl_id
1779527,CHEMBL908895,CHEMBL216546,EC50,22.91,nM,=,,,,7.64,,,,,CHEMBL1137338,593587,CHEMBL2095198
1779528,CHEMBL908895,CHEMBL386363,EC50,9.772,nM,=,,,,8.01,,,,,CHEMBL1137338,593586,CHEMBL2095198
1779529,CHEMBL908895,CHEMBL214841,EC50,27.54,nM,=,,,,7.56,,,,,CHEMBL1137338,593585,CHEMBL2095198
1779530,CHEMBL908895,CHEMBL214841,EC50,3235.94,nM,=,,,,5.49,,,,,CHEMBL1137338,593584,CHEMBL2095198
1779531,CHEMBL908895,CHEMBL214841,EC50,154.88,nM,=,,,,6.81,,,,,CHEMBL1137338,593583,CHEMBL2095198
1779532,CHEMBL908895,CHEMBL218564,EC50,3.715,nM,=,,,,8.43,,,,,CHEMBL1137338,593582,CHEMBL2095198
1779533,CHEMBL908895,CHEMBL218564,EC50,1.0,nM,=,,,,9.00,,,,,CHEMBL1137338,593581,CHEMBL2095198
1779534,CHEMBL908895,CHEMBL218564,EC50,5.129,nM,=,,,,8.29,,,,,CHEMBL1137338,593580,CHEMBL2095198
1779535,CHEMBL908895,CHEMBL215375,EC50,169.82,nM,=,,,,6.77,,,,,CHEMBL1137338,593579,CHEMBL2095198
1779536,CHEMBL908895,CHEMBL215375,EC50,7244.36,nM,=,,,,5.14,,,,,CHEMBL1137338,593578,CHEMBL2095198
1779537,CHEMBL908895,CHEMBL215375,EC50,95.5,nM,=,,,,7.02,,,,,CHEMBL1137338,593577,CHEMBL2095198
1779538,CHEMBL908895,CHEMBL384564,EC50,144.54,nM,=,,,,6.84,,,,,CHEMBL1137338,593576,CHEMBL2095198
1779539,CHEMBL908895,CHEMBL384564,EC50,3.89,nM,=,,,,8.41,,,,,CHEMBL1137338,593575,CHEMBL2095198
1779540,CHEMBL908895,CHEMBL384564,EC50,35.48,nM,=,,,,7.45,,,,,CHEMBL1137338,593574,CHEMBL2095198
1779541,CHEMBL908895,CHEMBL261996,EC50,26.92,nM,=,,,,7.57,,,,,CHEMBL1137338,593573,CHEMBL2095198
1779542,CHEMBL908895,CHEMBL215996,EC50,257.04,nM,=,,,,6.59,,,,,CHEMBL1137338,593572,CHEMBL2095198
1779543,CHEMBL908895,CHEMBL215996,EC50,64.57,nM,=,,,,7.19,,,,,CHEMBL1137338,593571,CHEMBL2095198
1779544,CHEMBL908895,CHEMBL215996,EC50,1000.0,nM,=,,,,6.00,,,,,CHEMBL1137338,593570,CHEMBL2095198
1779545,CHEMBL908895,CHEMBL426334,EC50,51.29,nM,=,,,,7.29,,,,,CHEMBL1137338,593569,CHEMBL2095198
1779546,CHEMBL908895,CHEMBL426334,EC50,0.912,nM,=,,,,9.04,,,,,CHEMBL1137338,593568,CHEMBL2095198
1779547,CHEMBL908895,CHEMBL426334,EC50,5.495,nM,=,,,,8.26,,,,,CHEMBL1137338,593567,CHEMBL2095198
1779603,CHEMBL908895,CHEMBL386228,EC50,10000.0,nM,<,,,,,,,,,CHEMBL1137338,593597,CHEMBL2095198
1779604,CHEMBL908895,CHEMBL214325,EC50,10000.0,nM,<,,,,,,,,,CHEMBL1137338,593601,CHEMBL2095198
1779605,CHEMBL908895,CHEMBL215995,EC50,10000.0,nM,<,,,,,,,,,CHEMBL1137338,593600,CHEMBL2095198
1779606,CHEMBL908895,CHEMBL217033,EC50,218.78,nM,=,,,,6.66,,,,,CHEMBL1137338,593629,CHEMBL2095198
1779607,CHEMBL908895,CHEMBL217033,EC50,3467.37,nM,=,,,,5.46,,,,,CHEMBL1137338,593628,CHEMBL2095198
1779608,CHEMBL908895,CHEMBL217033,EC50,398.11,nM,=,,,,6.40,,,,,CHEMBL1137338,593627,CHEMBL2095198
1779609,CHEMBL908895,CHEMBL215026,EC50,125.89,nM,=,,,,6.90,,,,,CHEMBL1137338,593626,CHEMBL2095198
1779610,CHEMBL908895,CHEMBL215026,EC50,1148.15,nM,=,,,,5.94,,,,,CHEMBL1137338,593625,CHEMBL2095198
1779611,CHEMBL908895,CHEMBL215026,EC50,331.13,nM,=,,,,6.48,,,,,CHEMBL1137338,593624,CHEMBL2095198
1779612,CHEMBL908895,CHEMBL383900,EC50,436.52,nM,=,,,,6.36,,,,,CHEMBL1137338,593623,CHEMBL2095198
1779613,CHEMBL908895,CHEMBL383900,EC50,1047.13,nM,=,,,,5.98,,,,,CHEMBL1137338,593622,CHEMBL2095198
1779614,CHEMBL908895,CHEMBL383900,EC50,426.58,nM,=,,,,6.37,,,,,CHEMBL1137338,593621,CHEMBL2095198
1779615,CHEMBL908895,CHEMBL215124,EC50,151.36,nM,=,,,,6.82,,,,,CHEMBL1137338,593620,CHEMBL2095198
1779616,CHEMBL908895,CHEMBL215124,EC50,812.83,nM,=,,,,6.09,,,,,CHEMBL1137338,593619,CHEMBL2095198
1779617,CHEMBL908895,CHEMBL215124,EC50,173.78,nM,=,,,,6.76,,,,,CHEMBL1137338,593618,CHEMBL2095198
1779618,CHEMBL908895,CHEMBL214892,EC50,1995.26,nM,=,,,,5.70,,,,,CHEMBL1137338,593617,CHEMBL2095198
1779619,CHEMBL908895,CHEMBL214892,EC50,1318.26,nM,=,,,,5.88,,,,,CHEMBL1137338,593616,CHEMBL2095198
1779620,CHEMBL908895,CHEMBL214892,EC50,602.56,nM,=,,,,6.22,,,,,CHEMBL1137338,593615,CHEMBL2095198
1779621,CHEMBL908895,CHEMBL426160,EC50,26.92,nM,=,,,,7.57,,,,,CHEMBL1137338,593614,CHEMBL2095198
1779622,CHEMBL908895,CHEMBL426160,EC50,1949.84,nM,=,,,,5.71,,,,,CHEMBL1137338,593613,CHEMBL2095198
1779623,CHEMBL908895,CHEMBL426160,EC50,75.86,nM,=,,,,7.12,,,,,CHEMBL1137338,593612,CHEMBL2095198
